trace_family	policy	sensitivity	n_requests	n_completed	n_rejected	n_failed	p50_s	p95_s	p99_s	goodput_30s	goodput_60s	goodput_120s	hot_hit_rate	l1_hit_rate	evictions	fetched_gib	reserved_gpu_hours	utilization	cost_usd
uniform	snapshot+shortest-switch-cost+lru	high	1796	1796	0	0	32.685584	150.071694	608.556748	0.4460	0.7951	0.9198	0.1158	0.7584	3	7949.37	48.47	0.4551	919.01
uniform	snapshot+shortest-switch-cost+gdsf	high	1796	1796	0	0	31.552700	147.686020	558.578148	0.4594	0.7873	0.9170	0.1192	0.7678	0	7667.21	48.80	0.4436	894.99
uniform	conventional+shortest-switch-cost+lru	high	1796	1796	0	0	5610.773936	18250.791810	21645.381058	0.0122	0.0150	0.0167	0.0457	0.2311	560	31890.51	207.29	0.5729	3740.78
zipf	snapshot+shortest-switch-cost+lru	base	1847	1847	0	0	9.440329	149.972938	449.603369	0.7612	0.8868	0.9334	0.4488	0.7937	95	6163.15	48.50	0.2600	266.33
zipf	snapshot+shortest-switch-cost+lfu	base	1847	1847	0	0	8.300722	103.222427	392.060692	0.7845	0.9117	0.9551	0.4559	0.8127	85	5916.86	47.71	0.2412	259.07
zipf	snapshot+shortest-switch-cost+size	base	1847	1847	0	0	8.182258	103.132601	386.731643	0.7916	0.9069	0.9561	0.4705	0.8246	18	5430.42	48.03	0.2287	250.28
zipf	snapshot+shortest-switch-cost+gdsf	base	1847	1847	0	0	11.957346	147.887994	477.588571	0.7547	0.8831	0.9361	0.4510	0.8083	32	5652.78	47.22	0.2619	252.34
zipf	snapshot+least-loaded+lru	base	1847	1847	0	0	20.229244	409.323641	686.743203	0.5966	0.8100	0.8609	0.0698	0.4846	439	18451.29	53.80	0.5990	527.75
zipf	conventional+shortest-switch-cost+lru	base	1847	1847	0	0	19.636331	215.887560	360.505043	0.5068	0.5393	0.8045	0.5008	0.7623	68	6720.80	49.74	0.5605	281.14
zipf	snapshot+shortest-switch-cost+lru+topk-adaptive-k8	base	1847	1847	0	0	8.091174	107.822938	429.789915	0.7948	0.9145	0.9534	0.4797	0.8170	50	5368.98	47.73	0.2442	248.19
zipf	snapshot+shortest-switch-cost+lru+bounded-queue	base	1847	1847	0	0	7.770063	104.292070	392.584376	0.7878	0.9107	0.9529	0.5181	0.8132	82	5329.93	47.56	0.2353	246.89
zipf	snapshot+shortest-switch-cost+lru+pipeline-next	base	1847	1847	0	0	9.504182	121.668682	441.942008	0.7694	0.8939	0.9469	0.4727	0.8322	272	10057.04	47.29	0.2643	340.65
zipf	snapshot+shortest-switch-cost+lru	low	1847	1847	0	0	6.152073	236.789832	487.309539	0.7574	0.8766	0.9177	0.5106	0.7677	175	6570.47	48.83	0.3163	92.79
zipf	snapshot+shortest-switch-cost+gdsf	low	1847	1847	0	0	10.199312	277.706495	539.488282	0.6946	0.8441	0.9020	0.4375	0.7482	101	7322.49	48.73	0.3482	92.58
zipf	conventional+shortest-switch-cost+lru	low	1847	1847	0	0	37.323527	294.573210	614.589475	0.4943	0.5636	0.8338	0.4721	0.7542	116	5822.00	51.25	0.5441	97.38
zipf	snapshot+shortest-switch-cost+lru	high	1847	1847	0	0	14.002385	128.245219	497.754668	0.6892	0.8749	0.9404	0.4808	0.8278	19	7146.63	48.54	0.2924	847.08
zipf	snapshot+shortest-switch-cost+gdsf	high	1847	1847	0	0	13.874145	130.184203	519.201940	0.6898	0.8776	0.9394	0.4792	0.8316	1	6884.02	47.65	0.3044	819.68
zipf	conventional+shortest-switch-cost+lru	high	1847	1847	0	0	1151.956084	5218.966028	6287.317347	0.0839	0.1023	0.1180	0.2377	0.6145	28	14649.90	98.65	0.7038	1732.83
