table	model	class_or_axis	key	usd	comparator_usd	flag
fully_loaded	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=1,R=None	0.270193	270193.34/317803.91	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=1,R=None	0.683451	0.270193	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=1,R=None	0.883214	883.21/968.47	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=1,R=None	1.296472	0.883214	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=1,R=None	0.523128	5231.28/6083.84	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=1,R=None	0.936386	0.523128	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=1,R=None	0.491120	24556.00/28818.81	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=1,R=None	0.904378	0.491120	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=1,R=None	0.487119	48711.91/57237.52	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=1,R=None	0.900377	0.487119	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=1,R=None	0.483918	241959.16/284587.23	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=1,R=None	0.897176	0.483918	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=1,R=None	0.483518	483518.23/568774.37	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=1,R=None	0.896776	0.483518	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=2,R=None	0.543620	543.62/568.95	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=2,R=None	0.750249	0.543620	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=2,R=None	0.183534	1835.34/2088.62	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=2,R=None	0.390163	0.183534	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=2,R=None	0.151526	7576.30/8842.69	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=2,R=None	0.358155	0.151526	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=2,R=None	0.147525	14752.51/17285.29	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=2,R=None	0.354154	0.147525	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=2,R=None	0.144324	72162.18/84826.07	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=2,R=None	0.350953	0.144324	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=2,R=None	0.143924	143924.26/169252.05	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=2,R=None	0.350553	0.143924	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=2,R=None	0.657104	657.10/702.46	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=2,R=None	0.863733	0.657104	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=2,R=None	0.297018	2970.18/3423.72	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=2,R=None	0.503647	0.297018	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=2,R=None	0.265010	13250.52/15518.24	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=2,R=None	0.471639	0.265010	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=2,R=None	0.261009	26100.93/30636.38	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=2,R=None	0.467638	0.261009	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=2,R=None	0.257809	128904.29/151581.50	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=2,R=None	0.464438	0.257809	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=2,R=None	0.257408	257408.48/302762.90	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=2,R=None	0.464038	0.257408	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=5,R=None	0.467859	467.86/479.82	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=5,R=None	0.550510	0.467859	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=5,R=None	0.107772	1077.72/1197.30	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=5,R=None	0.190424	0.107772	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=5,R=None	0.075765	3788.23/4386.14	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=5,R=None	0.158416	0.075765	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=5,R=None	0.071764	7176.37/8372.18	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=5,R=None	0.154415	0.071764	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=5,R=None	0.068563	34281.45/40260.52	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=5,R=None	0.151215	0.068563	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=5,R=None	0.068163	68162.81/80120.94	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=5,R=None	0.150814	0.068163	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=5,R=None	0.521438	521.44/542.85	cheaper_than_warm
